telescope,z_low,z_high,z_mid,z_obs_low,z_obs_high,z_effective,coverage_fraction,var_noise_mK2,rms_noise_mK,supported_mode_fraction,effective_mode_count,status,kperp_min_envelope_Mpc_inv,kperp_max_envelope_Mpc_inv,kpar_min_Mpc_inv,kpar_min_lattice_Mpc_inv,k_max_Mpc_inv,voxel_side_Mpc,t_obs_hours,baseline_source,variance_estimator
hirax_interferom,1.0527075,1.0627075000000001,1.0577075,1.0527075,1.0627075000000001,1.0577139185984754,1.0,0.02814172752283653,0.1677549627368339,0.9931433096993285,69313289.03617288,ok,0.02444208140925995,0.36299338150773836,0.0021920268195248825,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.0627075000000001,1.0727075,1.0677075,1.0627075000000001,1.0727075,1.067713787201837,1.0,0.028735809016707574,0.16951639748622424,0.99339094440109,69330571.91518033,ok,0.024160699803887832,0.36299343236350595,0.0021835890091353722,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.0727075,1.0827075000000002,1.0777075,1.0727075,1.0827075000000002,1.0777136587121707,1.0,0.029333694469506365,0.17127082200277538,0.9935507924065037,69341728.0,ok,0.023885116641986497,0.36299348237009965,0.0021752601748146238,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.0827075000000002,1.0927075,1.0877075,1.0827075000000002,1.0927075,1.0877135330476067,1.0,0.029935887869001646,0.17301990599061615,0.9936381987217571,69347828.24669509,ok,0.02361516248090712,0.3629935315482522,0.0021670381002724757,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.0927075,1.1027075,1.0977074999999998,1.0927075,1.1027075,1.0977134101292059,1.0,0.030546170468407387,0.17477462764488266,0.993754658104998,69355956.16017215,ok,0.023350674252987123,0.3629935799180593,0.002158920626493434,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.1027075,1.1127075,1.1077075,1.1027075,1.1127075,1.1077132898808333,1.0,0.03116466661982781,0.1765351710561604,0.9939002910664088,69366120.15105732,ok,0.02309149497221121,0.36299362749900277,0.0021509056500012094,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.1127075,1.1227075,1.1177074999999999,1.1127075,1.1227075,1.1177131722289528,1.0,0.03179029658557303,0.17829833590242236,0.9940459216807839,69376283.9781386,ok,0.022837473457940613,0.3629936743099727,0.0021429911211827664,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.1227075,1.1327075,1.1277075,1.1227075,1.1327075,1.1277130571025942,1.0,0.03242426835738048,0.18006739948524964,0.9942204409885799,69388464.0,ok,0.022588464072823097,0.3629937203692884,0.002135175042669393,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.1327075,1.1427075,1.1377074999999999,1.1327075,1.1427075,1.1377129444332434,1.0,0.03306064175384074,0.18182585557021516,0.9942787811228397,69392535.66473244,ok,0.022344326474225774,0.36299376569471914,0.0021274554677728767,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.1427075,1.1527075,1.1477075,1.1427075,1.1527075,1.147712834154671,1.0,0.03370848724203969,0.1835987125282737,0.9944388853553603,69403709.6321108,ok,0.022104925379807405,0.36299381030350314,0.0021198304989746525,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.1527075,1.1627075,1.1577075,1.1527075,1.1627075,1.1577127262028972,1.0,0.03436109995539892,0.18536747275452325,0.9945407077017467,69410816.0,ok,0.021870130344763667,0.3629938542123668,0.0021122982864657924,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.1627075,1.1727075,1.1677075000000001,1.1627075,1.1727075,1.1677126205161104,1.0,0.035020379255859546,0.18713732726492474,0.9946282081022602,69416922.81307757,ok,0.02163981555028416,0.36299389743754235,0.002104857026736091,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.1727075,1.1827075,1.1777075,1.1727075,1.1827075,1.177712517034503,1.0,0.03568822956275031,0.18891328582910813,0.9947445643926791,69425043.53151792,ok,0.021413859603759477,0.3629939399947852,0.002097504961210436,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.1827075,1.1927075,1.1877075000000001,1.1827075,1.1927075,1.1877124157002574,1.0,0.03636617634187416,0.1906991776119503,0.9949192047263985,69437232.0,ok,0.021192145348700484,0.36299398189939047,0.0020902403749305776,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.1927075,1.2027075,1.1977075,1.1927075,1.2027075,1.1977123164574688,1.0,0.03705030299921999,0.19248455262493142,0.9950648290828691,69447395.39033066,ok,0.020974559683974436,0.362994023166209,0.002083061595280649,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.2027075,1.2127075,1.2077075000000002,1.2027075,1.2127075,1.2077122192520025,1.0,0.03773634211779904,0.19425844156123317,0.9950938956608533,69449424.00000001,ok,0.020760993392804936,0.3629940638096624,0.0020759669907549467,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.2127075,1.2227075,1.2177075,1.2127075,1.2227075,1.2177121240314817,1.0,0.03843119255477851,0.19603875268624443,0.995152125972338,69453487.99999999,ok,0.020551340979963334,0.36299410384375813,0.0020689549697663224,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.2227075,1.2327075,1.2277075000000002,1.2227075,1.2327075,1.2277120307452318,1.0,0.03913644137971616,0.19782932386205074,0.9952686779875597,69461622.37843251,ok,0.020345500516731285,0.3629941432821031,0.0020620239794936087,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.2327075,1.2427075,1.2377075,1.2327075,1.2427075,1.2377119393441385,1.0,0.039847809349549464,0.19961916077759034,0.9953559768368093,69467715.12487854,ok,0.020143373493923967,0.36299418213791756,0.002055172504766914,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.2427075,1.2527075,1.2477075000000002,1.2427075,1.2527075,1.2477118497806525,1.0,0.04056982265199402,0.20141951904419297,0.9955015517122033,69477875.06183432,ok,0.019944864681954295,0.362994220424048,0.002048399066989186,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.2527075,1.2627074999999999,1.2577075,1.2527075,1.2627074999999999,1.2577117620087337,1.0,0.04129655414707027,0.2032155361852786,0.9955888962941819,69483971.00005117,ok,0.019749881997392502,0.3629942581529799,0.0020417022230927047,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.2627074999999999,1.2727075,1.2677075,1.2627074999999999,1.2727075,1.2677116759837328,1.0,0.04203100261011941,0.205014639989732,0.9956761987757018,69490063.99999999,ok,0.019558336376135934,0.36299429533684946,0.0020350805645296182,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.2727075,1.2827075,1.2777075,1.2727075,1.2827075,1.2777115916623918,1.0,0.04276847918845508,0.20680541382772136,0.995676198775702,69490064.0,ok,0.019370141652735172,0.36299433198745534,0.002028532716294681,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.2827075,1.2927075000000001,1.2877075,1.2827075,1.2927075000000001,1.2877115090027935,1.0,0.04352008161842794,0.20861467258663266,0.9957926593986719,69498192.00000001,ok,0.019185214445090994,0.36299436811626984,0.002022057335979701,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.2927075000000001,1.3027075,1.2977075,1.2927075000000001,1.3027075,1.297711427964267,1.0,0.04427799331661279,0.21042336685029253,0.9958800444825053,69504290.76491544,ok,0.019003474044728443,0.36299440373444963,0.0020156531128580238,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.3027075,1.3127075000000001,1.3077075,1.3027075,1.3127075000000001,1.3077113485073788,1.0,0.04504382515176954,0.21223530609153968,0.9959673503331263,69510384.0,ok,0.01882484231229144,0.36299443885284605,0.0020093187669983728,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.3127075000000001,1.3227075,1.3177075,1.3127075000000001,1.3227075,1.317711270593893,1.0,0.045814274268703,0.21404269263093986,0.9959965035182712,69512418.65414158,ok,0.018649243577618768,0.36299447348201497,0.0020030530484067477,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
