entered_mK2,exited_mK2,density_change_mK2,other_response_change_mK2,entered_modes,exited_modes,interpolation_groups_changed,parallel_floor_changed,redshift_weight_change_mK2,telescope,z_before,z_after,variance_before,variance_after,relative_change,abs_log_ratio
0.0008083321690183087,0.0,-0.0037845647114575077,0.018489934811246823,85332.36769687981,0.0,3353.491131121873,0.0,-2.398405715122539e-07,ska_mid1_interferom,0.984975089283782,0.9949749339750112,0.5369478190371026,0.5524612814653388,0.02889193675477836,0.028482433606142585
0.0008483079408514893,0.0,-0.0038765713434359703,0.018876347629164594,87393.6277693437,0.0,3270.9404460923106,0.0,-2.3741148709951737e-07,ska_mid1_interferom,0.9949749339750112,1.0049747822694182,0.5524612814653388,0.5683091282804318,0.028685895911218312,0.028282158466142904
0.000780394652193828,0.0,-0.003958198269777096,0.019268854620380988,78580.10692314227,0.0,3225.982989500092,0.0,-2.362468237720287e-07,ska_mid1_interferom,1.0049747822694182,1.0149746340595482,0.5683091282804318,0.5843999430364057,0.028313489886500568,0.027920071796250966
0.0007888767883353219,0.0,-0.004020807349398843,0.019664284753713457,77608.80316688873,0.0,3356.6035258731276,0.0,-2.357115248924517e-07,ska_mid1_interferom,1.0149746340595482,1.0249744892419546,0.5843999430364057,0.6008320615175308,0.028117933064379798,0.027729881332783268
0.0007138454157323129,0.0,-0.00404385813074996,0.020065902627898126,68553.39810603147,0.0,3331.4498860913504,0.0,-2.3412271152161128e-07,ska_mid1_interferom,1.0249744892419546,1.0349743477170723,0.6008320615175308,0.6175677173076998,0.027854132397494732,0.027473262410022434
0.0008478360282970587,0.0,-0.00403717290061735,0.0204723541229012,79615.89142535548,0.0,3209.409823030264,0.0,-2.3655966254919159e-07,ska_mid1_interferom,1.0349743477170723,1.0449742093891068,0.6175677173076998,0.634850497998618,0.027985239847482527,0.027600808804877443
0.0007367947914087309,0.0,-0.004027556677006609,0.020891607282886,67538.25400744696,0.0,3377.1654727689247,0.0,-2.3389387451230248e-07,ska_mid1_interferom,1.0449742093891068,1.0549740741657054,0.634850497998618,0.6524511095020318,0.027724025670453293,0.02734667347278891
0.0008093916677667578,0.0,-0.004085346275775736,0.021315923608025353,72562.75294236874,0.0,3380.918958146105,0.0,-2.3471276004604404e-07,ska_mid1_interferom,1.0549740741657054,1.0649739419579114,0.6524511095020318,0.670490843789288,0.02764917405232809,0.02727383840987338
0.0007370473774970965,0.0,-0.004195883804645663,0.02174918710947949,64516.325403012524,0.0,3256.967816941871,0.0,-2.311000153786152e-07,ska_mid1_interferom,1.0649739419579114,1.0749738126800437,0.670490843789288,0.6887809633716035,0.027278701494189938,0.026913268516826978
0.0007537594674569439,0.0,-0.004319346893511576,0.022185162144363592,64516.23710854729,0.0,3361.6355622526294,0.0,-2.3099747799663003e-07,ska_mid1_interferom,1.0749738126800437,1.084973686249406,0.6887809633716035,0.7074003070924346,0.027032314641346682,0.026673395535482432
0.0006503880723083554,0.0,-0.004367480131399072,0.022626364009611218,54436.15074680396,0.0,3402.9423507388337,0.0,-2.3126903226897459e-07,ska_mid1_interferom,1.084973686249406,1.094973562586271,0.7074003070924346,0.7263093477739229,0.0267303258026681,0.026379312047051875
0.0008856590917743166,0.0,-0.004337164917149835,0.02307147173677073,72559.73494359857,0.0,3306.9455411057984,0.0,-2.3277038217996152e-07,ska_mid1_interferom,1.094973562586271,1.104973441613772,0.7263093477739229,0.7459290809149359,0.02701291564144933,0.02665450695444058
0.0005801493368226684,0.0,-0.00426431582597748,0.02353374236392159,46387.91804287596,0.0,3367.633379751401,0.0,-2.299538174474443e-07,ska_mid1_interferom,1.104973441613772,1.1149733232576469,0.7459290809149359,0.7657784268358852,0.026610232029836627,0.026262338004426327
0.0007589321092418601,0.0,-0.004205537627161818,0.02399777538662924,59538.35932722344,0.0,3452.444827475074,0.0,-2.3645593315776868e-07,ska_mid1_interferom,1.1149733232576469,1.1249732074462362,0.7657784268358852,0.7863293602486613,0.026836657566458755,0.026482870163000136
0.0006585961693454923,0.0,-0.004187223973155911,0.024478303216859426,50599.99999999999,0.0,3321.9298251570654,0.0,-2.3486717921950999e-07,ska_mid1_interferom,1.1249732074462362,1.1349730941103835,0.7863293602486613,0.8072788007945311,0.02664206833030491,0.026293348611807668
0.0007545194455414279,0.0,-0.004179936758452106,0.024965657404294527,56683.28293623974,0.0,3376.6551589552073,0.0,-2.3550754260738885e-07,ska_mid1_interferom,1.1349730941103835,1.1449729831832212,0.8072788007945311,0.8288188053783723,0.02668223736662146,0.026332474468556587
0.0008103009915898637,0.0,-0.0042313216769692885,0.02546565299476581,59687.73333899205,0.0,3460.4226254857313,0.0,-2.389748763187297e-07,ska_mid1_interferom,1.1449729831832212,1.154972874600165,0.8288188053783723,0.8508631987128823,0.026597361439508267,0.026249800947414165
0.0005768216456671557,0.0,-0.004336552109985982,0.025975482246765737,41501.025789906795,0.0,3375.4331092645243,0.0,-2.3307119024913297e-07,ska_mid1_interferom,1.154972874600165,1.164972768298837,0.8508631987128823,0.873078717424139,0.026109389552706672,0.025774358563101136
0.0007739646849032071,0.0,-0.004477591065844151,0.02648486919885481,54633.850632237605,0.0,3357.6092311617035,0.0,-2.348153074388016e-07,ska_mid1_interferom,1.164972768298837,1.174972664218868,0.873078717424139,0.8958597254267455,0.02609273087061126,0.025758123629972565
0.0005720180904672299,0.0,-0.004599420894407484,0.027005782703958085,39476.66471119184,0.0,3507.981163671322,0.0,-2.2982929912512666e-07,ska_mid1_interferom,1.174972664218868,1.1849725623019067,0.8958597254267455,0.9188378754974642,0.0256492723342072,0.025325848477817055
0.0007043293201579931,0.0,-0.004681943854100781,0.027526997477090413,47582.67747212742,0.0,3407.958054545168,0.0,-2.319057511472292e-07,ska_mid1_interferom,1.1849725623019067,1.1949724624915468,0.9188378754974642,0.9423870265348606,0.025629277661901737,0.02530635363904338
0.0007317812187731789,0.0,-0.004749250077906375,0.02805969438953749,48559.363188612726,0.0,3372.0805537310257,0.0,-2.3729170482022247e-07,ska_mid1_interferom,1.1949724624915468,1.204972364733159,0.9423870265348606,0.9664290147735601,0.025511798827602135,0.025191803903021115
0.0004827454162608879,0.0,-0.004840740817593277,0.028601420141859693,31367.109666719916,0.0,3524.4702005383133,0.0,-2.321336109074404e-07,ska_mid1_interferom,1.204972364733159,1.2149722689738969,0.9664290147735601,0.9906722073804766,0.025085331914001724,0.024775859773035112
0.0008114546037613409,0.0,-0.004977350821342284,0.02914345899050398,51616.79167185543,0.0,3424.4597537442974,0.0,-2.299578011719867e-07,ska_mid1_interferom,1.2149722689738969,1.2249721751626317,0.9906722073804766,1.0156495401955983,0.025212509878687797,0.024899917812073964
0.0005670425166498259,0.0,-0.005142063324370019,0.029701441477883523,35409.04498358001,0.0,3408.5548987977,0.0,-2.3060834447468547e-07,ska_mid1_interferom,1.2249721751626317,1.2349720832498203,1.0156495401955983,1.0407757302574172,0.02473903553087812,0.02443798069235103
0.0006795174672157321,0.0,-0.005296836195816575,0.03025812961338436,41499.66714729499,0.0,3519.981817041988,0.0,-2.2600410969467164e-07,ska_mid1_interferom,1.2349720832498203,1.244971993187495,1.0407757302574172,1.066416315138091,0.024636032658382646,0.024337459441574536
