telescope,z,z_low,z_high,variance_mK2,mode_count,k_min_min,k_min_max,first_node_peak_kperp,first_node_peak_density,first_node_peak_group_fraction
ska_mid1_interferom,1.4449705182831671,1.439967619047619,1.449967619047619,1.697303575544221,68817606.12236309,0.04170129608041779,0.041869495594916165,0.2355275694930816,0.00279533056226941,0.00035886440226033927
ska_mid1_interferom,1.4549704582294014,1.449967619047619,1.459967619047619,1.735909890623337,68846061.98960868,0.041216944039671646,0.041411364665950356,0.2355275694930816,0.0027718682412161805,0.0003631045438619237
ska_mid1_interferom,1.464970399268568,1.459967619047619,1.469967619047619,1.7750407374900306,68874499.91402534,0.040899039398722005,0.04111938900574734,0.2355275694930816,0.002741824208355536,0.00036823819102278787
ska_mid1_interferom,1.4749703413763782,1.469967619047619,1.479967619047619,1.8143740924566325,68890759.66504818,0.04055389365481624,0.04082532523955723,0.2355275694930816,0.0027109376162506946,0.00037377600323408626
ska_mid1_interferom,1.4849702845292008,1.479967619047619,1.489967619047619,1.8541853804480422,68904981.62874103,0.04030555149303285,0.04055389365481624,0.2355275694930816,0.002679202014773196,0.0003795753385405855
ska_mid1_interferom,1.4949702287040365,1.489967619047619,1.499967619047619,1.8949460877714759,68933431.34780547,0.03993014233689369,0.04010577057769399,0.2355275694930816,0.0026732356589915965,0.0003817669597381502
ska_mid1_interferom,1.5049701738785053,1.499967619047619,1.509967619047619,1.9361814539028144,68956794.69753906,0.03955117005768168,0.039728473662068775,0.2355275694930816,0.0027241462728859046,0.00037596086987123125
ska_mid1_interferom,1.514970120030826,1.509967619047619,1.519967619047619,1.9780201680271485,68978133.28136712,0.03921976543403144,0.03939856047226197,0.25367095566881387,0.0024728426892579687,0.0003755730979640511
ska_mid1_interferom,1.5249700671397874,1.519967619047619,1.529967619047619,2.0204037572375793,68994389.16967624,0.0389371430686814,0.03911722992412678,0.25367095566881387,0.0024771098567355453,0.0003763262128581819
ska_mid1_interferom,1.53497001518474,1.529967619047619,1.539967619047619,2.063398379864374,69006581.05996192,0.03870437161204408,0.0389371430686814,0.25367095566881387,0.002502717705786553,0.000373882170180303
ska_mid1_interferom,1.5449699641455792,1.539967619047619,1.549967619047619,2.1075630947977935,69031981.7775453,0.038287061611325154,0.03852235474756402,0.25367095566881387,0.0025507974191709953,0.0003681464826574254
ska_mid1_interferom,1.5549699140027184,1.549967619047619,1.559967619047619,2.1526435651439737,69058394.42314708,0.038050313512002096,0.03815571624442526,0.2355275694930816,0.0027916932008976783,0.00037359581383358283
ska_mid1_interferom,1.564969864737082,1.559967619047619,1.569967619047619,2.198102653357834,69065507.1615061,0.03775893891533718,0.038050313512002096,0.2355275694930816,0.002737289136993851,0.00038241442425554934
ska_mid1_interferom,1.5749698163300851,1.569967619047619,1.579967619047619,2.2447645503641867,69081766.1867164,0.03743848950908434,0.03767908206405217,0.2355275694930816,0.0026816755952717903,0.0003917055382858955
ska_mid1_interferom,1.5849697687636233,1.579967619047619,1.589967619047619,2.2924884210007868,69102086.05278723,0.0371152734791416,0.03730415649786906,0.2355275694930816,0.0026494751983345637,0.00039777273870194826
ska_mid1_interferom,1.5949697220200476,1.589967619047619,1.599967619047619,2.3410741298899223,69119358.66132188,0.03687100211499156,0.0371152734791416,0.2355275694930816,0.0026547335941901552,0.0003982837347599932
ska_mid1_interferom,1.6049696760821632,1.599967619047619,1.609967619047619,2.3906396111337616,69138657.44795781,0.03659767735191797,0.03678921790608119,0.2355275694930816,0.0026598150992743863,0.0003987501022728683
ska_mid1_interferom,1.614969630933209,1.609967619047619,1.619967619047619,2.4408168753060746,69148818.83235446,0.036322295882095165,0.03646024660984589,0.2355275694930816,0.0026647180431093095,0.00039932292919515064
ska_mid1_interferom,1.624969586556843,1.619967619047619,1.629967619047619,2.4922718229866385,69170152.69247022,0.0361004782602609,0.03615606024584668,0.2355275694930816,0.002669440754438421,0.0003998274841708549
ska_mid1_interferom,1.6349695429371338,1.629967619047619,1.6399676190476191,2.5443689863439385,69181329.35423632,0.03579323456004062,0.035877289238356244,0.2355275694930816,0.002716971048700368,0.0003940795105169866
ska_mid1_interferom,1.644969500058546,1.6399676190476191,1.6499676190476191,2.597575689435897,69195557.29621536,0.03548333059227391,0.035708982027600554,0.2355275694930816,0.0027663789267493295,0.000388257388282109
ska_mid1_interferom,1.6549694579059304,1.6499676190476191,1.659967619047619,2.6519828684431426,69215873.2943824,0.03522774505205863,0.035455023184024846,0.2355275694930816,0.0028163363982736432,0.0003824540362657287
ska_mid1_interferom,1.6649694164645097,1.659967619047619,1.669967619047619,2.7070228540815107,69228067.79563463,0.035027666991491256,0.035113554330050284,0.2355275694930816,0.0028668464691343023,0.00037686940151198154
