telescope,z,variance_mK2,mode_count,peak_kperp,peak_density,peak_group_fraction,peak_zero_edge_gap
ska_mid1_interferom,0.3720029165111081,0.024087791172366896,36212480,0.2355275694930816,0.0011921273183234241,0.0007926249291102124,1589.8683692547359
ska_mid1_interferom,0.3722528855387741,0.024153900715748543,36251840,0.2355275694930816,0.00119283427702043,0.0007914613082380668,1588.619562892129
ska_mid1_interferom,0.37250285456644006,0.02425561663286409,36333840,0.2355275694930816,0.0011935415585476478,0.0007891444260685523,1587.3725104327968
ska_mid1_interferom,0.372752823594106,0.02432072275691007,36371560,0.2355275694930816,0.0011942491629941421,0.0007880318515872241,1586.1272083014837
ska_mid1_interferom,0.37300279262177194,0.024390108578317672,36414200,0.2355275694930816,0.0011949570904489777,0.0007867876582142042,1584.8836529325538
ska_mid1_interferom,0.37325276164943794,0.024445953834768976,36440440,0.2355275694930816,0.0011956653410012232,0.0007859861582144859,1583.6418407699566
ska_mid1_interferom,0.3735027306771039,0.024529393847996094,36499480,0.2355275694930816,0.0011963739147399456,0.0007843055184801889,1582.4017682671997
ska_mid1_interferom,0.3737526997047698,0.024602049117567228,36545400,0.2355275694930816,0.0011970828117542154,0.0007829798720641992,1581.1634318873096
ska_mid1_interferom,0.37400266873243576,0.024673503976073173,36589680,0.2355275694930816,0.0011977920321331048,0.0007817005757800464,1579.9268281028
ska_mid1_interferom,0.37425263776010176,0.02474926812944386,36638880,0.2355275694930816,0.0011985015759656864,0.0007802932933304791,1578.6919533956504
ska_mid1_interferom,0.3745026067877677,0.0248279729558442,36691360,0.2355275694930816,0.0011992114433410337,0.0007788028573302351,1577.458804257266
ska_mid1_interferom,0.37475257581543364,0.02490272194364526,36738920,0.2355275694930816,0.0011999216343482242,0.0007774458283361718,1576.2273771884431
ska_mid1_interferom,0.37500254484309964,0.024973602727894048,36781736,0.2355275694930816,0.0012006321490763356,0.000776217639497733,1574.997668699343
ska_mid1_interferom,0.3752525138707656,0.025047485825823963,36827880,0.2355275694930816,0.001201342987614447,0.0007749040130666097,1573.7696753094629
ska_mid1_interferom,0.3755024828984315,0.025127150530306216,36880616,0.2355275694930816,0.0012020541500516377,0.0007734206166148075,1572.543393547604
ska_mid1_interferom,0.37575245192609746,0.02518454081396619,36906984,0.2355275694930816,0.0012027656364769917,0.0007726298453072688,1571.3188199518324
ska_mid1_interferom,0.37600242095376346,0.025258939039381745,36953128,0.2355275694930816,0.0012034774469795928,0.0007713234548944236,1570.095951069457
ska_mid1_interferom,0.3762523899814294,0.025333520115902838,36999272,0.2355275694930816,0.0012041895816485245,0.0007700196783827404,1568.8747834569967
ska_mid1_interferom,0.37650235900909534,0.025405446181071517,37042120,0.2355275694930816,0.0012049020405728742,0.0007688043887773817,1567.65531368015
ska_mid1_interferom,0.3767523280367613,0.0254888623379392,37098152,0.2355275694930816,0.001205614823841731,0.0007672504325419848,1566.4375383137615
ska_mid1_interferom,0.3770022970644273,0.025575339565996863,37157480,0.2355275694930816,0.001206327931544184,0.000765615461271443,1565.2214539417957
ska_mid1_interferom,0.3772522660920932,0.025647852837009013,37200328,0.2355275694930816,0.0012070413637693238,0.0007644079556023909,1564.007057157304
ska_mid1_interferom,0.37750223511975917,0.025706305537532614,37226696,0.2355275694930816,0.001207755120606245,0.0007636252000732833,1562.7943445623932
ska_mid1_interferom,0.37775220414742516,0.02578198311426082,37272840,0.2355275694930816,0.00120846920214404,0.0007623368293930717,1561.5833127682035
ska_mid1_interferom,0.3780021731750911,0.025852255074821574,37312584,0.2355275694930816,0.0012091836084718042,0.0007612156212552266,1560.3739583948695
ska_mid1_interferom,0.37825214220275705,0.02592843338448747,37358952,0.2355275694930816,0.0012098983396786362,0.0007599278308037658,1559.166278071492
ska_mid1_interferom,0.378502111230423,0.026016322962219222,37418568,0.2355275694930816,0.001210613395853635,0.0007583065630317446,1557.9602684361096
ska_mid1_interferom,0.378752080258089,0.026084221668859653,37455000,0.2355275694930816,0.0012113287770859002,0.0007572766242836988,1556.755926135674
ska_mid1_interferom,0.3790020492857549,0.026165280253614205,37506336,0.2355275694930816,0.0012120444834645323,0.0007558721555186165,1555.5532478260159
ska_mid1_interferom,0.37925201831342087,0.026245101026914363,37556016,0.2355275694930816,0.0012127605150786364,0.0007545124242394766,1554.3522301718122
ska_mid1_interferom,0.37950198734108687,0.026307746190153906,37585824,0.2355275694930816,0.001213476872017317,0.0007536531342880698,1553.1528698465613
